"Element CSS selector","Total # of clicks","Visible","% of total"
"div#ch-plugin-core>div.Launcherstyled__Wrapper-oef45p-0.kyEsUG>div.Launcherstyled__TextLauncher-oef45p-1.lbMRR>div.Launcherstyled__TextLauncherContent-oef45p-2.owjgw.textLauncherContent","4","Yes","0.30%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section>img.max-full.center.m-hide","4","Yes","0.30%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.m-hide","4","Yes","0.30%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main-slide>div.pc-half-m-full","4","Yes","0.30%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.first-img-section.center>img.first-img-pc","4","Yes","0.30%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view","4","No","0.30%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main (1)","4","Yes","0.30%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.min","4","Yes","0.30%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.title (4)","3","Yes","0.23%"
"div#ch-plugin-core>div.Launcherstyled__Wrapper-oef45p-0.kyEsUG>div.Launcherstyled__TextLauncher-oef45p-1.lbMRR>div.Launcherstyled__TextLauncherIcon-oef45p-3.dDtaKl.textLauncherIcon","3","Yes","0.23%"
"div#root>div.app>div>div.uik-top-bar__wrapper","3","Yes","0.23%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>div.pc-topbar-sub-menus>a.uik-top-bar-link__wrapper (1)","3","No","0.23%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.title.m-hide","3","Yes","0.23%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container","3","Yes","0.23%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.min>div.fit-content-center>div.select-btn-wrapper>div.select-btn-four","3","No","0.23%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.min>img.max-full.center.m-hide (3)","2","No","0.15%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.weekly-ranking-wrapper>div.weekly-ranking-content-wrapper>div.weekly-ranking-content (26)","2","No","0.15%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.best-review-wrapper.m-hide>div.right-section>img.max-full","2","Yes","0.15%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section","2","Yes","0.15%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section>img.max-full.center.pointer.title.m-hide","2","Yes","0.15%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section (5)","2","Yes","0.15%"
"div#ch-plugin-core>div.Launcherstyled__Wrapper-oef45p-0.kyEsUG>div.Launcherstyled__TextLauncher-oef45p-1.lbMRR>div.Launcherstyled__TextLauncherIcon-oef45p-3.kZBuqH.textLauncherIcon","2","No","0.15%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.min>img.max-full.center.m-hide","2","Yes","0.15%"
"div#root>div.app>div.popover-container.logout","2","No","0.15%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.m-hide (1)","2","No","0.15%"
"div#root>div.app>div>div.uik-top-bar__wrapper>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>a.uik-top-bar-link__wrapper.pc-topbar-main-menu>font>font (1)","2","No","0.15%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>img.max-full.center.m-hide (3)","2","Yes","0.15%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.gray>img.max-full.center.m-hide","2","Yes","0.15%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>div.pc-topbar-sub-menus>a.uik-top-bar-link__wrapper.topbar-cart-icon-wrapper-b>img.topbar-cart-icon","2","No","0.15%"
"div#root>div.app>div.page-container>div.pnote-main-wrapper>div.pnote-main-container>div.pnote-main>div.pnote-main-dark-section.coach-package>img.max-full.center.pointer.title.m-hide","2","No","0.15%"
"div#root>div.app>div>div.uik-top-bar__wrapper.view>div.uik-top-bar-section__wrapper>div.pc-topbar>div.uik-top-bar-link-container__wrapper>div.pc-topbar-sub-menus>a.uik-top-bar-link__wrapper>font>font","2","No","0.15%"
